dataset,baseline,baseline_key,n_trials,best_hparams,best_val_pop_auc,auc_no_extended,auc_has_extended,auc_pop_weighted,n_no_extended,n_has_extended,n_train,n_test,elapsed_sec,seed,date
Weather,AdaptiveXGBoost,axgb,15,"{""n_estimators"": 30, ""learning_rate"": 0.20940176623070111, ""max_depth"": 9, ""max_window_size"": 2000, ""update_strategy"": ""push""}",0.809512318378548,0.8000705422131016,0.8322101187851578,0.8121935904960812,3114,1886,20000,5000,2.9,42,2026-05-02
ClientRecord,AdaptiveXGBoost,axgb,15,"{""n_estimators"": 50, ""learning_rate"": 0.1638749409902834, ""max_depth"": 7, ""max_window_size"": 500, ""update_strategy"": ""replace""}",0.8668485566811692,0.8371699428725654,0.896171637602338,0.860117372760369,861,548,5634,1409,1.4,42,2026-05-02
HRAnalytics,AdaptiveXGBoost,axgb,15,"{""n_estimators"": 30, ""learning_rate"": 0.09289065483316929, ""max_depth"": 7, ""max_window_size"": 5000, ""update_strategy"": ""replace""}",0.7501941457906511,0.7346220304914604,0.78114741406762,0.7667235738566395,1188,2644,15326,3832,2.3,42,2026-05-02
FlightDelay,AdaptiveXGBoost,axgb,15,"{""n_estimators"": 30, ""learning_rate"": 0.09614738817064541, ""max_depth"": 5, ""max_window_size"": 5000, ""update_strategy"": ""push""}",0.6486053685421077,0.6434366414835165,0.6390686559050509,0.6392870551839742,1000,19000,80000,20000,11.0,42,2026-05-02
BankLoanSta,AdaptiveXGBoost,axgb,15,"{""n_estimators"": 30, ""learning_rate"": 0.2976751505973729, ""max_depth"": 5, ""max_window_size"": 5000, ""update_strategy"": ""push""}",0.6655944113409313,0.5033233004219104,0.6181528662420381,0.5461834358642731,12535,7465,80000,20000,12.7,42,2026-05-02
CreditRisk,AdaptiveXGBoost,axgb,15,"{""n_estimators"": 30, ""learning_rate"": 0.2922351628014255, ""max_depth"": 5, ""max_window_size"": 1000, ""update_strategy"": ""replace""}",0.7325902581981684,0.7164661315411833,0.7386812336337647,0.7187792790465733,14334,1666,64000,16000,18.7,42,2026-05-02
DiabetesRecord,AdaptiveXGBoost,axgb,15,"{""n_estimators"": 30, ""learning_rate"": 0.21553724853816694, ""max_depth"": 7, ""max_window_size"": 2000, ""update_strategy"": ""push""}",0.6246342961791668,0.623397162686323,0.625890939190986,0.6248631170873395,8389,11965,81412,20354,20.3,42,2026-05-02
WeatherAUS,AdaptiveXGBoost,axgb,15,"{""n_estimators"": 50, ""learning_rate"": 0.14615606853189012, ""max_depth"": 9, ""max_window_size"": 5000, ""update_strategy"": ""push""}",0.8705908843831295,0.8516739427214814,0.8772135254303374,0.8692972336627448,8815,19624,113754,28439,20.2,42,2026-05-02
WIDS,AdaptiveXGBoost,axgb,15,"{""n_estimators"": 100, ""learning_rate"": 0.29609494083340077, ""max_depth"": 7, ""max_window_size"": 5000, ""update_strategy"": ""replace""}",0.8530904265976965,0.8525686688511784,0.8528726384574024,0.8526958545202493,10668,7675,73370,18343,32.7,42,2026-05-02
MovieAugV2,AdaptiveXGBoost,axgb,15,"{""n_estimators"": 50, ""learning_rate"": 0.08499054996054774, ""max_depth"": 5, ""max_window_size"": 5000, ""update_strategy"": ""push""}",0.8744508929566172,0.6826332694491766,0.9180460717853516,0.8620866046344878,5347,17147,89972,22494,43.8,42,2026-05-02
ClientRecord,EMLI,emli,15,"{""k"": 32, ""margin"": 0.15384213986729253, ""lr"": 0.003200672229922935, ""n_epochs"": 30, ""triplet_weight"": 0.798555753651075, ""consistency_weight"": 0.9983173783967003}",0.8497512765292802,0.8054743376366336,0.9290456190605222,0.8535347082684938,861,548,5634,1409,55.7,42,2026-05-02
ClientRecord,GBDT-IL,gbdt_il,15,"{""initial_trees"": 100, ""num_inc_tree"": 50, ""win_size"": 500, ""learning_rate"": 0.014132969381537014, ""max_depth"": 10}",0.8642078093180151,0.840948450362107,0.9350455803510944,0.8775454888532107,861,548,5634,1409,4.9,42,2026-05-02
Weather,GBDT-IL,gbdt_il,15,"{""initial_trees"": 100, ""num_inc_tree"": 50, ""win_size"": 1000, ""learning_rate"": 0.014412820591963395, ""max_depth"": 6}",0.8298397412593063,0.8272182173807852,0.8489631351799147,0.8354204003746168,3114,1886,20000,5000,14.9,42,2026-05-02
HRAnalytics,GBDT-IL,gbdt_il,15,"{""initial_trees"": 100, ""num_inc_tree"": 15, ""win_size"": 1000, ""learning_rate"": 0.01127205849868025, ""max_depth"": 6}",0.7526208771490195,0.7296307289034124,0.7952804749908217,0.7749276831453513,1188,2644,15326,3832,19.2,42,2026-05-02
BankLoanSta,GBDT-IL,gbdt_il,15,"{""initial_trees"": 100, ""num_inc_tree"": 15, ""win_size"": 1000, ""learning_rate"": 0.01127205849868025, ""max_depth"": 6}",0.6625618448045462,0.62671951542118,0.7249255819732798,0.6633749297617513,12535,7465,80000,20000,122.7,42,2026-05-02
ClientRecord,OCDS,ocds,15,"{""gamma"": 0.39328626493703767, ""lam1"": 0.03180261346693357, ""n_passes"": 1, ""hedge_eta"": 4.736807312296038, ""ridge_G"": 0.0004396579259210826}",0.8147320784951191,0.7905402366065404,0.8750653221592118,0.8234144359556276,861,548,5634,1409,9.0,42,2026-05-02
